Disease,All Symptoms
(vertigo) paroymsal  positional vertigo,"Dizziness (vertigo), Lightheadedness, Loss of balance, Nausea, Vomiting, Blurred vision, Nystagmus (involuntary eye movements)"
aids,"Fever, Fatigue, Weight loss, Swollen lymph nodes, Rash, Sore throat, Muscle pain, Headache, Mouth ulcers, Tuberculosis, Pneumonia, Candidiasis (thrush), Confusion, Depression, Memory loss"
acne,"Whiteheads (closed plugged pores), Blackheads (open plugged pores), Small red bumps (papules), Pimples with pus (pustules), Large lumps (nodules), Painful cystic lesions, Appears on face, forehead, chest, back, shoulders"
alcoholic hepatitis,"Jaundice (yellowing of skin and eyes), Loss of appetite, Nausea, Vomiting, Abdominal tenderness, Fever (low-grade), Tiredness, Weakness, Ascites (fluid buildup in abdomen), Confusion, Kidney and liver failure"
allergy,"nan, shivering,  chills, chills,  continuous_sneezing, continuous_sneezing,  shivering,  watering_from_eyes, watering_from_eyes, itchy eyes, runny nose, sneezing, hives, itchy eyes, runny nose, sneezing, hives, continuous_sneezing, shivering, chills, watering_from_eyes, continuous_sneezing, shivering, chills, watering_from_eyes"
arthritis,"Joint pain, Stiffness, Swelling, Redness, Decreased range of motion, Fatigue, Fever, Loss of appetite, Muscle weakness, Morning stiffness lasting over 30 minutes"
bronchial asthma,"Shortness of breath, Wheezing, Chest tightness, Coughing at night, Rapid breathing, Difficulty sleeping, Fatigue, Tight feeling in chest, Bluish lips or face, Frequent respiratory infections"
cervical spondylosis,"Neck pain, Stiffness, Muscle spasms, Reduced range of motion, Numbness in arms, Headaches, Tingling sensation, Loss of balance, Difficulty moving head, Dizziness, Problems with coordination"
chicken pox,"Red itchy spots, Fever, Tiredness, Headache, Scabs after blisters, Loss of appetite, Body aches, Nausea, Sore throat, Muscle pain, Light sensitivity"
chronic cholestasis,"Jaundice, Severe itching, Fatigue, Dark urine, Pale stools, Nausea, Abdominal pain, Loss of appetite, Swelling of legs and ankles, Diarrhea, Easy bruising"
common cold,"phlegm, throat_irritation,  throat_irritation, cough, mild cough, swelled_lymph_nodes,  cough, runny_nose, runny nose,  continuous_sneezing, headache,  fatigue, sinus_pressure,  high_fever, mild body aches, sore throat, phlegm, watery eyes, chest_pain, continuous_sneezing, headaches,  chest_pain, low-grade fever, Sneezing, fatigue, muscle_pain, high_fever,  muscle_pain, malaise, chills, congestion,  malaise,  headache, loss_of_smell,  runny_nose,  congestion, redness_of_eyes,  sinus_pressure,  chills,  swelled_lymph_nodes,  loss_of_smell,  redness_of_eyes, sore throat, mild fever, congestion, body aches, sore throat, mild fever, congestion, body aches, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
dengue,"red_spots_over_body,  joint_pain,  loss_of_appetite, headache, fever,  fatigue,  nausea,  high_fever, nausea, back_pain, pain_behind_the_eyes,  back_pain, pain, fatigue, muscle_pain, high_fever,  muscle_pain, malaise, chills,  pain_behind_the_eyes,  malaise,  headache, loss_of_appetite, vomiting,  vomiting, joint_pain,  chills, rash,  skin_rash, skin_rash, red_spots_over_body, muscle pain, severe headache, bleeding gums, joint pain, muscle pain, severe headache, bleeding gums, joint pain, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
diabetes,"Increased thirst, Frequent urination, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores, Tingling or numbness in hands or feet, Red or swollen gums, Increased hunger"
